Transaction ID,Date,Customer ID,Gender,Age,Product Category,Quantity,Price per Unit,Total Amount,Month,Recency,Frequency,Monetary
30,2024-12-14,CUST283,Female,20,Food,3,10,30,2024-12,17,4,1220
31,2024-11-02,CUST565,Female,47,Sports,3,100,300,2024-11,59,5,3510
32,2024-08-18,CUST301,Male,44,Clothing,3,100,300,2024-08,93,3,1390
33,2024-07-10,CUST034,Male,62,Beauty,5,30,150,2024-07,174,5,2040
34,2024-04-29,CUST395,Male,44,Food,3,30,90,2024-04,11,5,1390
35,2024-08-15,CUST459,Female,56,Sports,3,200,600,2024-08,129,5,1180
36,2024-02-22,CUST005,Male,39,Food,2,30,60,2024-02,15,3,250
37,2024-01-05,CUST730,Female,43,Electronics,1,50,50,2024-01,7,3,540
38,2024-06-19,CUST449,Female,21,Beauty,3,50,150,2024-06,94,3,310
39,2024-09-03,CUST234,Female,37,Sports,2,200,400,2024-09,119,2,650
40,2024-09-21,CUST356,Male,28,Food,2,30,60,2024-09,61,3,320
41,2024-07-20,CUST295,Female,57,Electronics,5,30,150,2024-07,96,4,460
42,2024-07-15,CUST624,Female,40,Beauty,1,30,30,2024-07,16,5,1070
43,2024-02-17,CUST518,Female,36,Electronics,3,100,300,2024-02,122,4,1250
44,2024-11-12,CUST134,Male,49,Beauty,3,50,150,2024-11,49,2,400
45,2024-04-02,CUST511,Male,59,Clothing,2,500,1000,2024-04,271,3,1160
46,2024-11-18,CUST282,Male,49,Beauty,1,50,50,2024-11,43,6,4620
47,2024-12-04,CUST458,Male,47,Electronics,2,50,100,2024-12,27,2,140
48,2024-12-09,CUST183,Male,55,Clothing,4,200,800,2024-12,22,5,2760
49,2024-08-29,CUST071,Female,51,Food,2,10,20,2024-08,124,1,20
50,2024-12-04,CUST339,Female,31,Beauty,5,50,250,2024-12,27,3,360
51,2024-12-08,CUST633,Female,25,Food,1,30,30,2024-12,23,3,1030
52,2024-06-05,CUST526,Male,42,Beauty,1,20,20,2024-06,162,2,520
53,2024-04-17,CUST587,Female,48,Sports,5,200,1000,2024-04,167,3,1380
54,2024-01-21,CUST104,Female,26,Beauty,3,30,90,2024-01,24,4,1210
55,2024-12-26,CUST437,Female,61,Electronics,5,100,500,2024-12,5,3,730
56,2024-12-25,CUST737,Female,45,Beauty,4,30,120,2024-12,6,2,320
57,2024-12-05,CUST314,Female,60,Sports,1,50,50,2024-12,26,2,850
58,2024-06-03,CUST637,Male,63,Sports,4,50,200,2024-06,211,1,200
59,2024-02-06,CUST406,Male,18,Electronics,2,500,1000,2024-02,10,4,3680
60,2024-02-23,CUST657,Male,31,Beauty,4,20,80,2024-02,81,2,780
61,2024-11-06,CUST596,Male,48,Beauty,3,20,60,2024-11,50,4,1510
62,2024-10-01,CUST585,Male,46,Sports,5,200,1000,2024-10,91,2,1100
63,2024-05-07,CUST195,Female,48,Sports,5,100,500,2024-05,238,2,900
64,2024-08-14,CUST513,Female,30,Beauty,1,20,20,2024-08,61,3,770
65,2024-02-27,CUST564,Male,20,Beauty,1,20,20,2024-02,23,4,730
66,2024-01-31,CUST441,Female,39,Food,2,10,20,2024-01,3,3,580
67,2024-12-26,CUST267,Male,28,Beauty,3,30,90,2024-12,5,3,540
68,2024-07-19,CUST127,Female,38,Food,3,30,90,2024-07,94,4,180
69,2024-05-07,CUST136,Female,59,Food,2,20,40,2024-05,126,3,1840
70,2024-09-21,CUST138,Male,23,Food,5,30,150,2024-09,17,7,1100
71,2024-08-19,CUST497,Female,61,Electronics,5,50,250,2024-08,41,3,310
72,2024-09-02,CUST690,Female,51,Electronics,3,100,300,2024-09,120,3,880
73,2024-06-04,CUST537,Female,31,Electronics,4,50,200,2024-06,210,2,250
74,2024-09-02,CUST760,Female,45,Sports,4,200,800,2024-09,45,4,3800
75,2024-07-09,CUST339,Female,56,Food,1,20,20,2024-07,27,3,360
76,2024-12-22,CUST602,Male,39,Clothing,5,100,500,2024-12,9,3,1600
77,2024-07-18,CUST095,Female,29,Beauty,4,50,200,2024-07,76,5,1540
78,2024-07-19,CUST282,Female,36,Electronics,4,500,2000,2024-07,43,6,4620
79,2024-02-18,CUST104,Female,40,Food,1,20,20,2024-02,24,4,1210
80,2024-07-05,CUST402,Female,48,Electronics,4,50,200,2024-07,142,6,520
81,2024-02-17,CUST567,Male,33,Sports,2,200,400,2024-02,184,4,750
82,2024-11-06,CUST163,Male,61,Food,4,30,120,2024-11,55,4,530
83,2024-07-24,CUST742,Male,60,Electronics,4,100,400,2024-07,160,3,640
84,2024-12-27,CUST199,Male,53,Electronics,1,500,500,2024-12,4,3,1900
85,2024-07-30,CUST312,Female,23,Food,2,10,20,2024-07,58,4,730
86,2024-01-28,CUST065,Male,41,Beauty,4,30,120,2024-01,94,2,420
87,2024-06-05,CUST456,Male,50,Clothing,2,100,200,2024-06,145,2,210
88,2024-05-28,CUST443,Female,21,Beauty,2,20,40,2024-05,26,2,140
89,2024-07-24,CUST122,Male,63,Food,5,30,150,2024-07,160,1,150
90,2024-12-15,CUST624,Female,18,Food,4,30,120,2024-12,16,5,1070
91,2024-07-15,CUST422,Female,53,Beauty,5,30,150,2024-07,59,2,270
92,2024-02-01,CUST611,Female,54,Sports,5,100,500,2024-02,296,2,580
93,2024-10-04,CUST129,Male,40,Clothing,5,100,500,2024-10,88,1,500
94,2024-06-30,CUST598,Male,35,Sports,1,100,100,2024-06,184,1,100
95,2024-06-06,CUST027,Male,54,Clothing,3,200,600,2024-06,50,5,4700
96,2024-02-13,CUST063,Male,20,Electronics,1,100,100,2024-02,123,2,190
97,2024-08-19,CUST245,Female,52,Beauty,4,20,80,2024-08,68,4,940
98,2024-01-14,CUST215,Female,51,Electronics,4,30,120,2024-01,95,3,580
99,2024-03-29,CUST748,Male,52,Beauty,5,30,150,2024-03,227,3,200
100,2024-07-22,CUST116,Male,24,Clothing,5,500,2500,2024-07,97,2,2750
101,2024-11-13,CUST621,Male,25,Sports,4,50,200,2024-11,28,5,900
102,2024-11-16,CUST760,Female,26,Clothing,4,100,400,2024-11,45,4,3800
103,2024-02-12,CUST051,Female,50,Beauty,4,20,80,2024-02,63,3,900
104,2024-05-16,CUST595,Male,21,Beauty,5,50,250,2024-05,17,4,780
105,2024-12-06,CUST479,Female,19,Sports,1,50,50,2024-12,25,5,640
106,2024-01-23,CUST309,Female,54,Electronics,2,500,1000,2024-01,46,8,3340
107,2024-09-24,CUST117,Female,28,Electronics,5,100,500,2024-09,98,2,550
108,2024-05-02,CUST579,Female,43,Electronics,3,500,1500,2024-05,158,4,4210
109,2024-05-11,CUST790,Male,25,Beauty,2,30,60,2024-05,27,6,420
110,2024-06-08,CUST600,Male,46,Clothing,4,100,400,2024-06,44,7,1770
111,2024-10-06,CUST654,Male,24,Beauty,1,50,50,2024-10,86,1,50
112,2024-09-30,CUST014,Male,32,Sports,4,200,800,2024-09,7,2,830
113,2024-10-12,CUST346,Female,43,Sports,2,50,100,2024-10,80,1,100
114,2024-02-19,CUST164,Female,31,Clothing,4,500,2000,2024-02,316,2,2050
115,2024-08-15,CUST241,Female,33,Electronics,5,500,2500,2024-08,77,4,4100
116,2024-12-13,CUST442,Female,39,Beauty,5,30,150,2024-12,18,4,370
117,2024-03-16,CUST615,Male,59,Sports,3,100,300,2024-03,118,3,430
118,2024-01-23,CUST247,Female,61,Food,1,30,30,2024-01,37,4,4080
119,2024-12-07,CUST580,Female,58,Clothing,1,100,100,2024-12,24,4,1750
120,2024-12-21,CUST689,Female,47,Sports,5,50,250,2024-12,10,7,1710
121,2024-09-18,CUST118,Female,25,Clothing,4,100,400,2024-09,25,4,980
122,2024-04-26,CUST097,Female,42,Sports,4,200,800,2024-04,222,2,1000
123,2024-02-23,CUST074,Female,54,Electronics,2,30,60,2024-02,131,2,560
124,2024-08-14,CUST137,Female,42,Electronics,5,30,150,2024-08,58,2,650
125,2024-04-16,CUST415,Female,55,Food,5,30,150,2024-04,6,8,4170
126,2024-12-30,CUST715,Male,49,Beauty,2,30,60,2024-12,1,5,680
127,2024-02-13,CUST183,Male,33,Food,1,30,30,2024-02,22,5,2760
128,2024-08-10,CUST404,Female,49,Beauty,4,50,200,2024-08,57,2,1200
129,2024-07-17,CUST299,Female,57,Sports,2,100,200,2024-07,1,6,1610
130,2024-02-05,CUST566,Female,47,Food,3,10,30,2024-02,142,3,2130
131,2024-04-06,CUST413,Female,43,Clothing,1,200,200,2024-04,223,2,800
132,2024-10-29,CUST553,Female,57,Beauty,2,50,100,2024-10,63,1,100
133,2024-07-04,CUST467,Female,43,Food,1,20,20,2024-07,26,4,1520
134,2024-08-09,CUST707,Female,37,Sports,3,100,300,2024-08,97,4,870
135,2024-09-27,CUST169,Female,54,Sports,5,100,500,2024-09,1,4,1140
136,2024-02-17,CUST025,Female,45,Sports,5,100,500,2024-02,79,4,790
137,2024-02-04,CUST208,Female,45,Sports,4,200,800,2024-02,115,4,1140
138,2024-06-07,CUST278,Male,32,Food,2,30,60,2024-06,117,4,380
139,2024-01-12,CUST765,Male,21,Sports,3,100,300,2024-01,21,2,500
140,2024-12-08,CUST077,Male,28,Electronics,5,50,250,2024-12,23,4,1950
141,2024-10-27,CUST533,Female,21,Food,3,30,90,2024-10,65,1,90
142,2024-12-07,CUST104,Male,47,Beauty,5,20,100,2024-12,24,4,1210
143,2024-01-11,CUST096,Male,43,Sports,5,50,250,2024-01,86,4,850
144,2024-08-09,CUST752,Female,57,Electronics,4,500,2000,2024-08,7,5,3220
145,2024-07-11,CUST318,Male,59,Sports,4,50,200,2024-07,173,3,600
146,2024-07-22,CUST526,Male,56,Clothing,5,100,500,2024-07,162,2,520
147,2024-09-13,CUST603,Male,63,Clothing,1,100,100,2024-09,109,2,300
148,2024-01-23,CUST430,Female,34,Beauty,5,20,100,2024-01,54,3,1200
149,2024-01-01,CUST117,Male,45,Sports,1,50,50,2024-01,98,2,550
150,2024-09-10,CUST284,Male,53,Clothing,5,100,500,2024-09,85,2,590
151,2024-01-12,CUST439,Female,31,Beauty,4,30,120,2024-01,16,4,3320
152,2024-01-19,CUST361,Male,31,Clothing,1,100,100,2024-01,206,4,580
153,2024-07-31,CUST021,Female,48,Food,5,20,100,2024-07,153,3,790
154,2024-03-22,CUST230,Female,59,Food,5,10,50,2024-03,194,4,1150
155,2024-12-27,CUST530,Female,47,Food,3,20,60,2024-12,4,3,470
156,2024-07-13,CUST713,Female,28,Electronics,5,30,150,2024-07,36,5,450
157,2024-08-30,CUST038,Female,38,Food,3,30,90,2024-08,98,5,1640
158,2024-09-22,CUST660,Female,18,Beauty,3,20,60,2024-09,87,3,180
159,2024-01-08,CUST037,Male,34,Sports,3,50,150,2024-01,52,4,320
160,2024-01-10,CUST581,Male,30,Clothing,3,200,600,2024-01,144,4,830
161,2024-01-02,CUST053,Male,62,Clothing,3,200,600,2024-01,151,3,2140
162,2024-03-14,CUST124,Female,25,Sports,1,50,50,2024-03,190,4,2750
163,2024-09-22,CUST281,Female,20,Electronics,4,500,2000,2024-09,100,3,2080
164,2024-01-07,CUST294,Female,52,Clothing,2,200,400,2024-01,273,2,1400
165,2024-04-26,CUST481,Female,64,Clothing,4,100,400,2024-04,59,6,1130
166,2024-05-18,CUST634,Female,41,Electronics,2,50,100,2024-05,42,5,3180
167,2024-08-29,CUST377,Female,42,Electronics,1,50,50,2024-08,124,4,200
168,2024-12-09,CUST317,Female,20,Beauty,5,50,250,2024-12,22,1,250
169,2024-01-26,CUST024,Female,46,Food,1,10,10,2024-01,59,5,2110
170,2024-01-26,CUST410,Female,36,Clothing,3,100,300,2024-01,27,6,5470
171,2024-06-29,CUST791,Male,35,Electronics,3,50,150,2024-06,185,3,290
172,2024-10-10,CUST162,Female,22,Clothing,4,500,2000,2024-10,82,3,2130
173,2024-03-09,CUST787,Female,34,Food,4,20,80,2024-03,297,1,80
174,2024-02-21,CUST108,Female,24,Beauty,4,30,120,2024-02,167,3,540
175,2024-04-14,CUST699,Female,61,Beauty,2,20,40,2024-04,103,4,2290
176,2024-03-06,CUST503,Female,28,Sports,3,200,600,2024-03,1,4,3720
177,2024-12-15,CUST439,Male,30,Sports,2,100,200,2024-12,16,4,3320
178,2024-01-13,CUST340,Male,19,Beauty,1,30,30,2024-01,119,3,570
179,2024-04-03,CUST459,Female,55,Sports,2,200,400,2024-04,129,5,1180
180,2024-04-03,CUST425,Female,37,Sports,1,200,200,2024-04,74,2,700
181,2024-04-30,CUST683,Male,25,Sports,2,50,100,2024-04,36,2,300
182,2024-06-10,CUST623,Female,22,Clothing,1,100,100,2024-06,204,1,100
183,2024-07-15,CUST590,Male,32,Beauty,1,30,30,2024-07,3,3,890
184,2024-08-27,CUST193,Female,23,Clothing,3,500,1500,2024-08,126,3,4030
185,2024-02-16,CUST081,Male,35,Electronics,1,100,100,2024-02,293,3,560
186,2024-05-26,CUST728,Male,23,Clothing,4,200,800,2024-05,68,3,2860
187,2024-03-25,CUST601,Male,43,Clothing,1,200,200,2024-03,33,8,6100
188,2024-05-25,CUST375,Male,36,Sports,1,50,50,2024-05,29,4,630
189,2024-03-07,CUST712,Male,32,Electronics,3,100,300,2024-03,254,2,350
190,2024-05-28,CUST176,Female,57,Clothing,3,500,1500,2024-05,10,3,3540
191,2024-11-20,CUST221,Male,25,Electronics,5,100,500,2024-11,41,3,800
192,2024-12-28,CUST128,Female,29,Electronics,4,30,120,2024-12,3,4,390
193,2024-12-01,CUST133,Female,26,Beauty,1,20,20,2024-12,30,2,1020
194,2024-11-23,CUST571,Female,30,Electronics,4,50,200,2024-11,38,5,850
195,2024-09-18,CUST617,Male,58,Clothing,1,500,500,2024-09,17,5,1500
196,2024-08-13,CUST126,Male,35,Beauty,2,30,60,2024-08,6,3,170
197,2024-12-30,CUST653,Male,53,Food,4,30,120,2024-12,1,5,1050
198,2024-10-28,CUST455,Female,30,Electronics,3,30,90,2024-10,64,2,290
199,2024-07-30,CUST636,Female,27,Food,4,30,120,2024-07,95,4,3220
200,2024-12-02,CUST767,Male,44,Electronics,2,50,100,2024-12,29,4,310
201,2024-03-21,CUST208,Female,42,Beauty,2,20,40,2024-03,115,4,1140
202,2024-11-20,CUST568,Male,35,Clothing,1,500,500,2024-11,41,4,870
203,2024-12-23,CUST502,Female,25,Beauty,1,30,30,2024-12,8,5,590
204,2024-07-16,CUST306,Female,23,Beauty,4,50,200,2024-07,117,4,1050
205,2024-09-27,CUST778,Female,46,Food,3,30,90,2024-09,95,3,1890
206,2024-10-16,CUST709,Female,38,Electronics,3,50,150,2024-10,76,6,3510
207,2024-08-02,CUST800,Female,41,Clothing,5,200,1000,2024-08,151,2,1200
208,2024-08-29,CUST255,Male,45,Beauty,3,20,60,2024-08,124,3,1040
209,2024-12-20,CUST178,Female,50,Food,3,10,30,2024-12,11,4,950
210,2024-11-06,CUST179,Female,56,Sports,1,50,50,2024-11,53,3,1300
211,2024-11-28,CUST148,Female,30,Beauty,5,30,150,2024-11,33,5,2500
212,2024-05-03,CUST007,Male,18,Beauty,4,50,200,2024-05,108,5,1280
213,2024-06-25,CUST601,Male,22,Electronics,4,500,2000,2024-06,33,8,6100
214,2024-10-16,CUST733,Male,22,Beauty,4,50,200,2024-10,76,3,550
215,2024-12-02,CUST375,Female,44,Clothing,3,100,300,2024-12,29,4,630
216,2024-01-10,CUST790,Female,41,Beauty,2,30,60,2024-01,27,6,420
217,2024-11-16,CUST677,Female,19,Beauty,3,30,90,2024-11,45,2,2590
218,2024-08-02,CUST273,Male,18,Clothing,2,500,1000,2024-08,26,4,1480
219,2024-02-17,CUST199,Male,59,Clothing,4,100,400,2024-02,4,3,1900
220,2024-09-03,CUST605,Male,60,Beauty,1,20,20,2024-09,98,5,2910
221,2024-07-04,CUST485,Female,58,Food,2,10,20,2024-07,5,4,1210
222,2024-10-16,CUST415,Female,35,Sports,2,200,400,2024-10,6,8,4170
223,2024-05-02,CUST715,Female,61,Food,5,30,150,2024-05,1,5,680
224,2024-12-24,CUST781,Male,47,Sports,4,200,800,2024-12,7,4,3790
225,2024-07-21,CUST435,Female,29,Sports,2,100,200,2024-07,13,6,880
226,2024-09-05,CUST306,Male,31,Electronics,2,100,200,2024-09,117,4,1050
227,2024-10-10,CUST558,Female,64,Clothing,3,500,1500,2024-10,82,2,3000
228,2024-12-14,CUST337,Male,48,Sports,5,50,250,2024-12,17,2,270
229,2024-01-06,CUST358,Male,64,Sports,5,100,500,2024-01,320,2,700
230,2024-12-01,CUST417,Female,41,Beauty,5,30,150,2024-12,30,6,2300
231,2024-12-24,CUST759,Male,19,Beauty,3,20,60,2024-12,7,2,560
232,2024-02-05,CUST387,Female,34,Beauty,3,20,60,2024-02,93,3,350
233,2024-04-25,CUST409,Female,25,Sports,3,100,300,2024-04,199,5,720
234,2024-03-09,CUST375,Male,62,Food,4,20,80,2024-03,29,4,630
235,2024-12-14,CUST617,Female,37,Clothing,4,200,800,2024-12,17,5,1500
236,2024-11-18,CUST476,Male,30,Food,4,20,80,2024-11,43,4,560
237,2024-07-02,CUST484,Male,38,Sports,2,100,200,2024-07,102,3,2730
238,2024-02-11,CUST224,Female,37,Food,3,20,60,2024-02,118,4,750
239,2024-05-31,CUST088,Male,38,Food,2,10,20,2024-05,214,1,20
240,2024-01-12,CUST552,Male,24,Food,3,20,60,2024-01,60,4,1100
241,2024-04-23,CUST659,Female,33,Electronics,5,50,250,2024-04,252,1,250
242,2024-05-26,CUST570,Male,45,Sports,4,50,200,2024-05,196,3,480
243,2024-12-07,CUST588,Female,36,Food,5,10,50,2024-12,24,5,2790
244,2024-06-11,CUST224,Female,52,Electronics,3,30,90,2024-06,118,4,750
245,2024-04-26,CUST479,Female,34,Clothing,2,100,200,2024-04,25,5,640
246,2024-06-18,CUST573,Female,28,Sports,1,100,100,2024-06,85,2,250
247,2024-04-12,CUST015,Male,36,Food,5,30,150,2024-04,22,5,1350
248,2024-10-07,CUST604,Female,18,Food,5,20,100,2024-10,85,2,150
249,2024-12-27,CUST236,Female,60,Beauty,1,20,20,2024-12,4,2,120
250,2024-01-07,CUST068,Female,46,Sports,5,50,250,2024-01,156,2,400
251,2024-01-28,CUST153,Female,24,Clothing,4,500,2000,2024-01,160,6,2520
252,2024-07-07,CUST461,Female,33,Beauty,3,30,90,2024-07,1,8,2700
253,2024-06-21,CUST567,Male,50,Sports,2,50,100,2024-06,184,4,750
254,2024-10-30,CUST309,Male,39,Beauty,5,20,100,2024-10,46,8,3340
255,2024-09-05,CUST543,Female,56,Electronics,5,100,500,2024-09,84,3,1060
256,2024-07-22,CUST371,Male,47,Sports,2,100,200,2024-07,162,3,1020
257,2024-12-30,CUST354,Female,19,Clothing,5,100,500,2024-12,1,2,590
258,2024-01-15,CUST098,Male,58,Electronics,3,500,1500,2024-01,148,3,1550
259,2024-02-16,CUST410,Female,47,Clothing,5,500,2500,2024-02,27,6,5470
260,2024-04-23,CUST750,Female,26,Beauty,5,30,150,2024-04,170,2,350
261,2024-03-26,CUST764,Female,46,Sports,2,100,200,2024-03,219,2,280
262,2024-10-29,CUST051,Female,36,Clothing,4,200,800,2024-10,63,3,900
263,2024-05-19,CUST286,Female,40,Sports,5,50,250,2024-05,124,5,1120
264,2024-07-07,CUST625,Female,63,Beauty,5,30,150,2024-07,3,3,390
265,2024-11-20,CUST572,Male,29,Clothing,4,200,800,2024-11,5,2,820
266,2024-08-12,CUST607,Female,23,Sports,4,200,800,2024-08,141,1,800
267,2024-12-16,CUST732,Male,21,Clothing,5,200,1000,2024-12,15,5,1990
268,2024-10-31,CUST356,Female,60,Beauty,2,30,60,2024-10,61,3,320
269,2024-08-02,CUST428,Male,59,Food,1,10,10,2024-08,151,1,10
270,2024-09-19,CUST223,Female,32,Electronics,2,30,60,2024-09,41,3,380
271,2024-10-16,CUST095,Male,57,Electronics,4,30,120,2024-10,76,5,1540
272,2024-10-28,CUST316,Female,38,Clothing,3,100,300,2024-10,64,1,300
273,2024-04-20,CUST395,Male,27,Electronics,2,50,100,2024-04,11,5,1390
274,2024-10-17,CUST240,Female,50,Sports,5,50,250,2024-10,75,4,2360
275,2024-12-13,CUST766,Male,23,Beauty,2,30,60,2024-12,18,1,60
276,2024-05-04,CUST100,Male,62,Clothing,3,200,600,2024-05,49,4,2170
277,2024-04-04,CUST511,Female,49,Beauty,3,50,150,2024-04,271,3,1160
278,2024-01-29,CUST661,Female,51,Clothing,1,200,200,2024-01,195,2,2200
279,2024-09-18,CUST272,Male,26,Sports,3,200,600,2024-09,104,3,1700
280,2024-07-21,CUST219,Male,44,Food,4,10,40,2024-07,163,4,1140
281,2024-01-08,CUST142,Male,23,Sports,2,50,100,2024-01,4,6,2620
282,2024-02-19,CUST789,Female,47,Beauty,3,20,60,2024-02,153,3,1060
283,2024-05-21,CUST170,Male,28,Sports,3,100,300,2024-05,121,6,2940
284,2024-06-02,CUST704,Female,51,Beauty,3,30,90,2024-06,64,2,290
285,2024-04-05,CUST542,Male,26,Electronics,1,30,30,2024-04,160,2,630
286,2024-02-15,CUST078,Male,47,Sports,5,200,1000,2024-02,113,3,1220
287,2024-05-18,CUST326,Male,33,Sports,1,50,50,2024-05,72,4,2100
288,2024-11-25,CUST713,Male,18,Sports,1,50,50,2024-11,36,5,450
289,2024-06-14,CUST672,Male,43,Sports,3,200,600,2024-06,51,6,1350
290,2024-12-01,CUST527,Male,18,Electronics,1,50,50,2024-12,30,4,1600
291,2024-04-02,CUST687,Male,54,Beauty,4,20,80,2024-04,158,3,220
292,2024-01-06,CUST532,Female,55,Beauty,1,20,20,2024-01,149,4,2590
293,2024-10-21,CUST313,Female,51,Sports,1,50,50,2024-10,71,2,100
294,2024-11-06,CUST054,Male,35,Food,4,30,120,2024-11,15,3,720
295,2024-05-14,CUST703,Female,61,Sports,3,50,150,2024-05,231,2,400
296,2024-11-16,CUST551,Female,57,Electronics,1,100,100,2024-11,42,5,2830
297,2024-04-23,CUST192,Female,30,Beauty,1,50,50,2024-04,19,6,1800
298,2024-05-09,CUST782,Male,60,Clothing,2,100,200,2024-05,236,4,650
299,2024-08-29,CUST717,Male,37,Electronics,1,100,100,2024-08,124,4,310
300,2024-12-24,CUST664,Male,22,Food,1,20,20,2024-12,7,5,1180
301,2024-08-22,CUST377,Male,22,Electronics,2,50,100,2024-08,124,4,200
302,2024-02-24,CUST797,Male,34,Food,2,20,40,2024-02,86,3,440
303,2024-09-17,CUST143,Female,32,Electronics,4,100,400,2024-09,105,3,1250
304,2024-07-25,CUST485,Female,60,Beauty,2,20,40,2024-07,5,4,1210
305,2024-04-22,CUST383,Female,61,Beauty,4,30,120,2024-04,253,2,420
306,2024-09-14,CUST525,Female,59,Beauty,2,20,40,2024-09,33,5,400
307,2024-02-17,CUST328,Female,51,Beauty,2,20,40,2024-02,174,3,390
308,2024-12-05,CUST727,Female,36,Beauty,1,30,30,2024-12,26,4,1370
309,2024-11-11,CUST253,Male,29,Beauty,5,20,100,2024-11,50,2,250
310,2024-09-15,CUST571,Female,53,Sports,5,50,250,2024-09,38,5,850
311,2024-02-02,CUST583,Male,58,Clothing,2,200,400,2024-02,244,5,1400
312,2024-11-22,CUST359,Male,56,Electronics,4,500,2000,2024-11,39,2,2600
313,2024-04-21,CUST712,Male,56,Sports,1,50,50,2024-04,254,2,350
314,2024-08-22,CUST074,Female,58,Clothing,5,100,500,2024-08,131,2,560
315,2024-07-13,CUST415,Female,23,Electronics,5,30,150,2024-07,6,8,4170
316,2024-03-11,CUST458,Female,46,Beauty,2,20,40,2024-03,27,2,140
317,2024-08-01,CUST356,Female,63,Beauty,4,50,200,2024-08,61,3,320
318,2024-06-13,CUST468,Female,32,Sports,5,50,250,2024-06,3,3,1850
319,2024-06-08,CUST011,Male,18,Clothing,1,100,100,2024-06,66,2,2100
320,2024-08-05,CUST098,Female,20,Food,2,10,20,2024-08,148,3,1550
321,2024-08-14,CUST768,Male,63,Food,4,10,40,2024-08,23,2,140
322,2024-06-19,CUST661,Male,49,Clothing,4,500,2000,2024-06,195,2,2200
323,2024-03-22,CUST588,Male,32,Clothing,5,500,2500,2024-03,24,5,2790
324,2024-05-13,CUST099,Female,28,Beauty,5,30,150,2024-05,232,1,150
325,2024-04-07,CUST547,Female,38,Clothing,4,500,2000,2024-04,150,2,2120
326,2024-10-08,CUST363,Female,24,Sports,3,100,300,2024-10,9,4,940
327,2024-08-04,CUST532,Male,60,Food,1,10,10,2024-08,149,4,2590
328,2024-05-03,CUST548,Female,34,Clothing,5,200,1000,2024-05,233,5,2380
329,2024-11-24,CUST775,Female,56,Electronics,4,500,2000,2024-11,18,5,2550
330,2024-04-03,CUST751,Female,31,Clothing,3,500,1500,2024-04,272,1,1500
331,2024-06-22,CUST719,Male,38,Clothing,3,500,1500,2024-06,79,3,1630
332,2024-12-09,CUST015,Male,61,Electronics,1,50,50,2024-12,22,5,1350
333,2024-05-18,CUST725,Male,58,Beauty,1,50,50,2024-05,128,2,70
334,2024-10-14,CUST008,Female,27,Food,3,30,90,2024-10,78,4,1180
335,2024-12-05,CUST443,Male,38,Electronics,2,50,100,2024-12,26,2,140
336,2024-02-22,CUST277,Female,36,Beauty,4,30,120,2024-02,94,5,380
337,2024-03-01,CUST510,Male,50,Beauty,2,30,60,2024-03,200,2,1060
